,0
0,534.1621893888516
1,533.2745819397993
2,531.9406637613141
3,525.1469510163279
4,519.9437141894169
5,529.065835065835
6,524.4127764127765
7,525.2204319506342
8,524.3534773801485
9,518.4277947672443
10,508.8291791292788
11,516.5336232853797
12,514.7827260458839
13,515.2467314783775
14,513.5542492442056
15,514.635294117647
16,516.395945945946
17,516.4834752981261
18,519.3447215579091
19,518.7986486486486
20,520.4445585215606
21,516.4457708049114
22,516.7965528894897
23,514.2775183455637
24,510.0584481021162
25,511.5952059419311
26,511.4792225201072
27,513.5670792907326
28,511.6079338842975
29,511.25436241610737
30,511.6782145236509
31,511.3392498325519
32,515.100033795201
33,511.8720426524492
34,510.6479894528675
35,508.2682274247492
36,508.0963895329579
37,508.0880691259555
38,511.0991983967936
39,507.9116279069767
40,507.1746768312893
41,509.6495358090186
42,509.58923230309074
43,509.3859182995682
44,506.3811270423474
45,506.2416666666667
46,506.4116479152879
47,504.2017774851876
48,505.998023715415
49,505.497
50,505.89539887454487
51,503.9284768211921
52,505.132367467896
53,508.2420046158919
54,503.6672179953688
55,504.8057673185284
56,502.2175346077785
57,505.3384868421053
58,503.6819380355965
59,504.4323703217334
60,503.1607973421927
61,502.74153239066095
62,500.98970783532536
63,505.6871896722939
64,503.6565289256199
65,503.9522712310731
66,503.8128289473684
67,501.9124087591241
68,502.1600654664484
69,504.14497528830316
